N,P,K,temperature,humidity,ph,rainfall,label
1.0688,-0.3446,-0.1017,-0.9356,0.4727,0.0433,1.8104,rice
0.9333,0.1406,-0.1412,-0.7596,0.3971,0.7349,2.2421,rice
0.256,0.0496,-0.0819,-0.5159,0.487,1.7715,2.9211,rice
0.6353,-0.5568,-0.1609,0.1728,0.3898,0.6603,2.537,rice
0.7437,-0.3446,-0.1214,-1.0836,0.4548,1.4979,2.8984,rice
0.4998,-0.4962,-0.1214,-0.5053,0.5341,0.7806,2.6861,rice
0.4998,0.0496,-0.2004,-0.5743,0.5013,-0.9934,3.055,rice
1.1772,-0.011,-0.1609,-1.0545,0.5127,-0.9704,2.5209,rice
1.0417,0.0193,-0.2004,-0.2174,0.5415,0.279,2.311,rice
0.4727,0.1406,-0.2004,-0.4725,0.519,-0.1722,2.1429,rice
1.0959,-0.011,-0.1609,0.1799,0.4464,-1.4001,2.9329,rice
1.0688,-0.2233,-0.1214,-0.3234,0.4479,1.3355,2.6684,rice
0.7437,0.1406,-0.0819,0.234,0.4225,-1.7587,3.2937,rice
1.1501,0.08,-0.2399,-0.3163,0.4751,0.6654,1.489,rice
1.1772,-0.102,-0.2202,0.0098,0.4125,0.6185,1.9314,rice
0.256,-0.1626,-0.1807,-0.2635,0.3962,0.7403,2.3227,rice
0.9333,-0.4658,-0.1412,-0.7959,0.508,-0.2849,3.152,rice
1.0959,-0.5568,-0.1807,-0.36,0.4015,0.648,1.8709,rice
0.7166,-0.4658,-0.2399,-0.7409,0.3913,-0.6663,2.2038,rice
1.0146,-0.5568,-0.1609,-0.4023,0.5439,-0.7955,3.4185,rice
1.0417,-0.2536,-0.2399,-0.8476,0.404,-0.0349,1.493,rice
0.6895,-0.4052,-0.1017,-0.0906,0.5227,-1.8084,2.3281,rice
0.4456,0.1709,-0.1412,-0.7246,0.4264,-0.5904,2.0,rice
0.8791,-0.3749,-0.1017,-0.9015,0.503,-0.2784,2.3595,rice
1.2855,-0.1929,-0.2202,-0.4212,0.4426,1.1709,2.1948,rice
0.4185,-0.011,-0.1412,-0.1068,0.4062,1.6923,2.7944,rice
1.2585,0.1709,-0.1017,0.1468,0.5644,-0.2365,3.0556,rice
1.2585,-0.102,-0.1412,-0.2147,0.4072,0.7773,2.8537,rice
0.256,-0.1323,-0.0819,-0.9561,0.5848,-0.2903,2.4864,rice
0.9062,-0.0716,-0.2597,-0.6547,0.4116,-0.5508,1.7202,rice
0.6082,0.1103,-0.1412,-0.8236,0.6048,-0.8333,3.071,rice
1.123,-0.5568,-0.1609,-0.6789,0.3976,-0.1449,1.7585,rice
0.9333,-0.4962,-0.1807,-0.215,0.5056,-0.1361,2.206,rice
1.2855,-0.011,-0.2004,-1.0566,0.4563,-1.8804,3.039,rice
1.0146,0.0193,-0.0819,0.0235,0.5571,-0.4137,2.3599,rice
1.2043,0.0496,-0.1214,0.2329,0.4792,-0.6705,1.6359,rice
1.3126,0.1103,-0.2597,0.2254,0.4356,-0.658,3.0728,rice
